Question,Answer,Topic,Tags
"Про що Layer 3?","Про реалізацію agent без function calling через ReAct prompt, regex parsing і scratchpad.","Layer 3 Raw ReAct Prompt Manual Tool Calling","agents;react-prompt;manual-tool-calling"
"Що замінює structured tool_calls?","Raw text output, який містить Action і Action Input.","Layer 3 Raw ReAct Prompt Manual Tool Calling","tool-calling;raw-text"
"Навіщо import re?","Щоб парсити Final Answer, Action і Action Input із raw LLM text.","Layer 3 Raw ReAct Prompt Manual Tool Calling","regex;parsing"
"Навіщо import inspect?","Щоб витягнути function signatures і docstrings для dynamic tool descriptions.","Layer 3 Raw ReAct Prompt Manual Tool Calling","inspect;tool-descriptions"
"Що таке tool_descriptions?","String із tool names, signatures і docstrings, який вставляється в ReAct prompt.","Layer 3 Raw ReAct Prompt Manual Tool Calling","tool-descriptions;prompt-engineering"
"Що таке tool_names?","Comma-separated list allowed action names, який вставляється в prompt.","Layer 3 Raw ReAct Prompt Manual Tool Calling","tools;allowlist"
"Що таке scratchpad?","Growing text history model output, real observations і наступного Thought marker.","Layer 3 Raw ReAct Prompt Manual Tool Calling","scratchpad;agent-memory"
"Навіщо stop token newline Observation?","Щоб model не hallucinate observation до того, як application вставить real tool result.","Layer 3 Raw ReAct Prompt Manual Tool Calling","stop-token;hallucination-control"
"Що відбувається, якщо знайдено Final Answer?","Loop повертає parsed final answer.","Layer 3 Raw ReAct Prompt Manual Tool Calling","final-answer;agent-loop"
"Що відбувається, якщо знайдено Action?","Application парсить tool name/input і виконує matching tool.","Layer 3 Raw ReAct Prompt Manual Tool Calling","action;tool-dispatch"
"Чому raw ReAct fragile?","Він залежить від exact text format і коректної роботи regex parsing.","Layer 3 Raw ReAct Prompt Manual Tool Calling","failure-modes;regex"
"Головний lesson Layer 3?","Function calling — structured version behavior, який можна approximated через prompt protocol, parser і tool executor.","Layer 3 Raw ReAct Prompt Manual Tool Calling","function-calling;react"
